DATE,current_account
2017-10-01,-1.845498
2018-01-01,-1.90713
2018-04-01,-1.829929
2018-07-01,-2.297236
2018-10-01,-2.472967
2019-01-01,-2.181341
2019-04-01,-2.1872580000000004
2019-07-01,-2.028957
2019-10-01,-1.8138330000000005
2020-01-01,-1.850766
2020-04-01,-3.016958
2020-07-01,-3.116117
2020-10-01,-3.287524
2021-01-01,-3.345646
2021-04-01,-3.615666000000001
2021-07-01,-3.929322
2021-10-01,-3.749407
2022-01-01,-4.629201999999999
2022-04-01,-4.078139
2022-07-01,-3.5098800000000003
2022-10-01,-3.391167
2023-01-01,-3.39165
2023-04-01,-3.389008
2023-07-01,-3.155912
2023-10-01,-3.135092
2024-01-01,-3.3917050000000004
2024-04-01,-3.814202
2024-07-01,-4.225088
2024-10-01,-4.090209
